accuracy,precision,recall,f1_macro,model,time_sec
0.845,0.8555607223126405,0.845,0.8466090107610243,MiniLM_FineTuned_kNN,4.46
,,,0.8204343151401975,Azure_KNN,53.98
0.785,0.7902892258956332,0.7849999999999999,0.7854666883504093,SBERT_KNN,2.91
0.845,0.8504714036451843,0.845,0.8428963781632319,TFIDF_LR,2.23
0.835,0.835202645651562,0.835,0.8331328581328581,TFIDF_SVM,0.03
0.805,0.810737707552885,0.8049999999999999,0.8033934551360563,TFIDF_XGBOOST,1.17
